CNES;UF;IBGE;NOME;LOGRADOURO;BAIRRO;LATITUDE;LONGITUDE
2019744;16;160030;PMM U B S SANTO ANT DA PEDREIRA;SANTO ANTONIO DA PEDREIRA;SANTANTPEDREIRA;0,33878;-50,87274
2019825;16;160030;PMM U B S SANTA LUZIA DO PACUI;SANTA LUZIA DO PACUI;DISTRITO DE PACUI;0,84762;-50,65759
2019841;16;160030;PMM U B S SAO PEDRO DOS BOIS;COMUNIDADE SAO PEDRO DOS BOIS;DISTRITO DA PEDREIRA;0,039;-51,066
2019906;16;160030;PMM U B S TRACAJATUBA I;TRACAJATUBA I PACUI;PACUI;0,72233;-50,70885
2019914;16;160030;PMM U B S SAO JOAQUIM DO PACUI;DISTRITO DE PACUI;DISTRITO DO PACUI;0,039;-51,066
2019973;16;160030;PMM U B S CARMO DO MARUANUM;MARUANUM;MARUANUM;0,1863;-51,278
2020009;16;160030;UBS MARIANA SOUZA PEREIRA DE BARROS;PEDREIRA;DISTRITO DA PEDREIRA;0,33878;-50,87274
2020025;16;160030;PMM U B S HILDA ILEIA SANTANNA RAMOS;RODOVIA AP 070;CURIAU;0,10613;-51,05479
2020033;16;160030;PMM U B S TESSALONICA;DISTRITO DO MARUANUM;DISTRITO DO MARUANUM;0,039;-51,066
2020084;16;160080;PMVJ UBS ATERRO DO MURIACA;LOCALIDADE DO MURIACA;VILA DO MURIACA;-0,98415;-52,11401
2020092;16;160080;PMVJ UBS CIDADE LIVRE;RUA PEDRO LADISLAU DA SILVEIRA;CIDADE LIVRE;-0,938;-52,424
2020106;16;160080;PMVJ UBS JARILANDIA;LOCALIDADE DE JARILANDIA;V DE JARILANDIA;-0,938;-52,424
2020157;16;160027;PMLAJ UBS CENTRO VANEA SILVA;RUA DA USINA;CENTRO;-0,84574;-52,52738
2020181;16;160027;PMLAJ UBS PADARIA;LARANJAL DO JARI;COMUNIDADE PADARIA;0,20325;-53,05298
2020203;16;160027;PMLAJ UBS NOVA ESPERANCA;RUA ESPLANADA;NOVA ESPERANCA;-0,842;-52,516
2127350;31;316720;CENTRO DE SAUDE MANOA;GERANIO;MANOA;-19,43776;-44,24957
2020262;16;160040;PM MZG UBS DR CID SANTANA;RUA PRESIDENTE VARGAS;OLARIA;-0,11862;-51,28444
2020289;16;160040;PM MZG UBS DR SILAS SALGADO;VILA DO CARVAO;VILA DO CARVAO;-0,115;-51,289
2020432;16;160040;PM MZG UBS MARIA HELENA COSTA DE SOUZA;LOCALIDADE VILA DO MARACA;C V DO MARACA;-0,115;-51,289
2020505;16;160070;PM TARTA UBS LIVRAMENTO;LIVRAMENTO;LIVRAMENTO;1,0973;-50,79241
2020548;16;160070;PM TARTA UBS COLONIA DO CEDRO;COLONIA DO CEDRO;COLONIA DO CEDRO;1,49316;-50,91064
2723859;23;230370;UAPS MARIA DOS PASSOS MATIAS GOMES;RUA DA CONSOLACAO;NOVO PABUSSU;-3,72957;-38,66332
2020688;16;160080;PMVJ UBS BEIRA RIO;AV AIRTON SENA;COMERCIAL;-0,92702;-52,42337
2020696;16;160030;PMM U B S DAS PEDRINHAS;RUA JOAO CASTRO SUSSUARANA;JARDIM EQUATORIAL;0,039;-51,066
2020718;16;160030;PMM U B S DR ALVARO P CORREA;AVENIDA ARMANDO TUPA DE ABREU;SAO LAZARO;0,07506;-51,05749
2020726;16;160055;PMP UNIDADE BASICA DE SAUDE DE PRACUUBA;RUA ELOGIO FERREIRA;CENTRO;1,74341;-50,78465
2020734;16;160055;PMP UNIDADE BASICA DE SAUDE DO CUJUBIM;RODOVIA BR 156;CUJUBIM;1,74301;-50,79099
2020785;16;160060;PM STN UBS FOZ RIO VILA NOVA;BR 156;RIO VILA NOVA;-0,07664;-51,22342
2020882;16;160060;PM STN UBS ALTO PIRATIVA;COMUNIDADE DO ALTO PIRATIVA;COMUN ALTO PIRATIVA;-0,03259;-51,20264
2020912;16;160060;PM STN UBS FLORIANO REGO;RUA CLAUDIO LUCIO MONTEIRO;COMERCIAL;-0,05347;-51,1768
2021005;16;160030;PMM U B S CIDADE NOVA;RUA BEIRA RIO;CIDADE NOVA I;0,02743;-51,05246
2021021;16;160021;PM CUT UBS AMERICO COELHO PEREIRA;AV MANOEL RAIMUNDO PEREIRA;CENTRO;0,97149;-50,80089
2021056;16;160030;PMM U B S RD HOZANAN DE SOUZA;RUA HILDEMAR MAIA;MUCA;0,0229;-51,07135
2021161;16;160030;PMM U B S PACOVAL;RUA GENERAL RONDON;JULIAO RAMOS;0,02717;-51,05577
2021188;16;160030;PMM U B S INFRAERO II;AVENIDA CARLOS LINS CORTES;INFRAERO II;0,07871;-51,07153
2021196;16;160030;PMM U B S PEDRO BARROS MONTEIRO;PASSAGEM DONA MARCIA;DISTRITO DE FAZENDIN;-0,05259;-51,11425
2021242;16;160015;PMPBA UBS AGUA FRIA;COMUNIDADE AGUA FRIA;AGUA FRIA;0,8051;-51,97962
2021250;16;160025;PM ITA UBS CARMO DO MACACOARI;COMUNIDADE CARMO DO MACACOARI;VILA CDO MACACOARI;-0,596;-50,671
2021307;16;160025;PM ITA UBS SANTA MARIA DO CURICACA;COMUNIDADE SANTA MARIA DO CURICACA;CURICACA;-0,596;-50,671
2021358;16;160030;PMM U B S DOS CONGOS;AV CLAUDOMIRO DE MORAES;CONGOS;0,039;-51,066
2021366;16;160030;PMM U B S CONCEICAO R MOITA;AVENIDA RAIMUNDO PEQUILO GOES DE ALMEIDA;NOVA ESPERANCA;0,03159;-51,08224
2021285;16;160025;PM ITA UBS IGARAPE NOVO;LOCALIDADE DO IGARAPE NOVO;MARGEM DIREITA DO RI;-0,596;-50,671
2021455;16;160050;PMOPQ UBS DO PLANALTO;RUA ULISSES GUIMARAES;PLANALTO;3,84107;-51,83131
2021536;16;160050;PMOPQ PS DE CLEVELANDIA;LIRA CASTRO;CLEVELANDIA;3,843;-51,835
2021560;16;160050;PMOPQ PS DO PIQUIA KM 30;BR 156 KM 30;PIQUIA;3,76656;-51,78813
2021625;16;160053;PMPG UBS MANOEL DE SOUSA PEREIRA;COLONIA AGRICOLA DO MATAPI;ZONA RURAL;0,63616;-51,43644
2021641;16;160053;PMPG UBS JOSE LUIZ GOMES BARRETO;RODOVIA PERIMETRAL NORTE KM 150;ZONA RURAL;0,6273;-51,63868
2021935;16;160020;PMC UBS DO CARNOT;COMUNIDADE DO CARNOT;C CARNOT;2,498;-50,949
2022044;16;160030;PMM U B S NOVO HORIZONTE;AV ALVARO CARVALHO BARBOSA;NOVO HORIZONTE I;0,08979;-51,04999
2022273;35;352470;UBS 1 JOSE POLTRONIERI CENTRO;RUA JANUARIO ELISEU DE NAVARRO;NOVA JAGUARIUNA II;-22,706;-46,986
2022303;35;352470;UBS 7 ROSEIRA DE BAIXO;AV DOS IPES;ROSEIRA DE BAIXO;-22,706;-46,986
2022311;35;352470;UBS 4 DOMINGOS GRANGHELLI ROSEIRA;RUA MACIEIRA;JD ROSEIRA;-22,706;-46,986
2022338;35;350610;E S F DR JOSE CAUBI CAMPELLO BESSA;ALAMEDA CANAVIEIRAS;RES RASSIM DIB;-20,949;-48,479
2022362;35;350610;E S F DR PEDRO MARINHO DE MELLO JUNIOR;RUA OSWALDO GARRIDO;RES CENTENARIO;-20,94771;-48,46701
2022389;35;350610;E S F DR HUGO TURCHETO;RUA ANGELO RIMOLI;JARDIM PRIMAVERA;-20,91691;-48,49595
2022400;35;350610;E S F DR JOAO CARLOS GALHARDO;RUA HENRIQUE T DE CARVALHO ESQUINA AV MISSIONARIOS;JD SAO CARLOS;-20,949;-48,479
2022419;35;350610;E S F DR MAURO BURJAILI;RUA JOSE FAVERO;DISTRITO DE BOTAFOGO;-20,99915;-48,55005
2022427;35;350610;E S F DR JOAO CAMBAUVA;RUA ANTONIO PAGANELLI;JD AEROPORTO;-20,949;-48,479
2022443;35;350610;E S F DR RAMIRO DE SOUZA LIMA;RUA IRMA CRUCIFIXO;RES FURQUIM;-20,949;-48,479
2022516;35;350940;ESF DOM BOSCO CAJURU;RUA GERCI DE PAULA GUIMARAES;DOM BOSCO;-21,2734;-47,29303
2022524;35;350940;ESF JARDIM MARIA TEREZA CAJURU;RUA JUNDIAI;JD MARIA TEREZA;-21,26472;-47,29896
2022613;35;350950;CENTRO DE SAUDE CAMPOS ELISEOS TANCREDO NEVES;AV TANCREDO NEVES;CAMPOS ELISEOS;-22,94835;-47,09732
2022656;35;350950;CENTRO DE SAUDE SAO BERNARDO;AV JOAO BATISTA MORATO DO CANTO;SAO BERNARDO;-22,91594;-47,08311
2022664;35;350950;CENTRO DE SAUDE BARAO GERALDO;AV ALBINO JOSE BARBOSA DE OLIVEIRA;JD AFIFE;-22,90621;-47,05016
2022672;35;350950;CENTRO DE SAUDE JARDIM AURELIA;R LICINIA TEIXEIRA DE SOUZA;VILA PROOST DE SOUZA;-22,90096;-47,08996
2022680;35;350950;CENTRO DE SAUDE SANTA ODILA;RUA BEATO MARCELINO CHAMPAGNAT;VILA JOAQUIM INACIO;-22,93398;-47,03635
2022699;35;350950;CENTRO DE SAUDE TAQUARAL PADRE MILTON SANTANA;RUA HENRIQUE SCHROEDER;TAQUARAL;-22,88205;-47,04658
2022702;35;350950;CENTRO DE SAUDE SOUSAS;RUA ANTONIO PRADO;SOUSAS;-22,87742;-46,96878
2022729;35;350950;CENTRO DE SAUDE CENTRO;R PADRE VIEIRA;CENTRO;-22,90281;-47,05783
2022745;35;350610;E S F DR MOACYR CALDEIRA;PRACA ABILIO MANOEL;CENTRO;-20,949;-48,479
2022788;35;350950;CENTRO DE SAUDE PERSEU LEITE DE BARROS;RUA BOA VISTA;VL PERSEU LEITE DE B;-22,92951;-47,10073
2022818;35;350950;CENTRO DE SAUDE PARQUE DA FIGUEIRA;R JERONIMO TOGNOLLO;PARQUE DA FIGUEIRA;-22,94624;-47,06197
2022826;35;350950;CENTRO DE SAUDE BOA VISTA;R DAS ACACIAS;VILA BOA VISTA;-22,88982;-47,12377
2022834;35;350950;CENTRO DE SAUDE VILA RICA;R MANGANES;VILA RICA;-22,93293;-47,09791
2022842;35;350950;CENTRO DE SAUDE INTEGRACAO;R ZOCCA;V CASTELO BRANCO;-22,91483;-47,11503
2022850;35;350950;CENTRO DE SAUDE JARDIM FLORENCE;R OSVALDO PERALVA;JARDIM FLORENCE II;-22,94296;-47,16557
2022869;35;350950;CENTRO DE SAUDE PARANAPANEMA;R BOAVENTURA LEMOS;JD GUARANI;-22,91326;-47,03967
2022907;35;350950;CENTRO DE SAUDE VILA 31 DE MARCO;RUA ANTONIO PAVIN;JARDIM CONCEICAO;-22,87376;-47,03209
2022915;35;350950;CENTRO DE SAUDE SAO VICENTE;R FRANCISCO ANTONIO DA SILVA;JD SAO VICENTE;-22,94719;-47,02451
2022931;35;350950;CENTRO DE SAUDE PEDRO DE AQUINO NETO;AV PAULO PROVENZA SOBRINHO;JD CAMPOS ELISEOS;-22,92967;-47,10335
2725355;23;230370;UAPS EDNIR CARNEIRO GALENO;RUA POTIGUARA;POTIRA;-3,77542;-38,68487
2022990;35;350940;ESF CRUZ ALTA CAJURU;RUA CARLOS ANTONIO MONTI;CONJUNTO HABITACIONA;-21,28582;-47,31115
2023067;35;350950;CENTRO DE SAUDE JARDIM ROSSIN;R MAJOR ADOLPHO ROSSIN;JD ROSSIN;-22,9286;-47,16522
2023083;35;350950;CENTRO DE SAUDE CARVALHO DE MOURA;R CELSO LUGLIO;PQ RESIDENCIAL CARVA;-22,95573;-47,07991
2023091;35;350950;CENTRO DE SAUDE VILA PADRE ANCHIETA;AV PAPA JOAO PAULO II;VILA PADRE ANCHIETA;-22,86824;-47,15589
2023156;35;350950;CENTRO DE SAUDE JARDIM EULINA;RUA MARTIN LUTHER KING JUNIOR;JARDIM EULINA;-22,89296;-47,1077
2023164;35;350950;CENTRO DE SAUDE JARDIM CONCEICAO;R SILVINO DE GODOY;JD CONCEICAO;-22,87648;-47,03504
2023172;35;350950;CENTRO DE SAUDE JARDIM SANTA MONICA;R OLIVIO MANUEL DE CAMARGO;SANTA MONICA;-22,85269;-47,10707
2023180;35;350950;CENTRO DE SAUDE ERNESTO SIERRA HUNOVITCH OROZIMBO MAIA;R DOUTOR LAERTE DE MORAES;VL OROZIMBO MAIA;-22,92231;-47,02652
2023199;35;350950;CENTRO DE SAUDE COSTA E SILVA;RUA JOAQUIM MANUEL DE MACEDO;JD SANTA GENEBRA;-22,85601;-47,06526
2023202;35;350950;CENTRO DE SAUDE VILA IPE;R SYNIRA DE ARRUDA VALENTE;JD DAS OLIVEIRAS;-22,94067;-47,03939
2023210;35;350950;CENTRO DE SAUDE JOAQUIM EGIDIO;ROD HEITOR PENTEADO;JOAQUIM EGIDIO;-22,89652;-47,00113
2023288;35;352340;PSF 06 07 SAN FRANCISCO CLELIO ANTONIO RELA;AVENIDA ANTONIO NARDI;SAN FRANCISCO;-23,00723;-46,81619
2023318;35;350950;CENTRO DE SAUDE JARDIM SAO MARCOS;AV MARIA LUIZA POMPEO DE CAMARGO;JD CAMPINEIRO;-22,84779;-47,11941
2023369;35;350950;CENTRO DE SAUDE PARQUE FLORESTA;R FLAVIO MARINHO MENDES;CJ HABITACIONAL PARQ;-22,9561;-47,19898
2023377;35;350950;CENTRO DE SAUDE PARQUE SANTA BARBARA;R PEDRO GIMENEZ VILLAR;PQ SANTA BARBARA;-22,89486;-47,14737
2023458;35;350950;CENTRO DE SAUDE SAO DOMINGOS;RUA JUVENAL DE OLIVEIRA;JD SAO DOMINGOS;-23,03867;-47,10581
2023482;35;352470;UBS 3 DR PEDRO SILVEIRA MARTINS XII DE SETEMBRO;RUA PINTO CATAO;JD SANTA MERCEDES;-22,706;-46,986
2023504;35;352470;UBS 2 LUIZ FERNANDES COSTODIO MIGUEL MARTINI;RUA FRACHETA;MIGUEL MARTINI;-22,706;-46,986
2023598;35;350950;CENTRO DE SAUDE PARQUE VALENCA;R NATALE BERTUCCI;PQ VALENCA I;-22,94843;-47,18973
2023628;35;350950;CENTRO DE SAUDE SAO JOSE;R JOSE CARLOS DO AMARAL GALVAO;JD SAO JOSE;-22,96139;-47,09632
2023636;35;351280;UBS JARDIM FAVERI;AVN ESTER;JAD DE FAVERI;-22,63615;-47,1936
2023660;35;351280;POSTO COMUNITARIO ANDORINHAS;RUA LAVIEIRO GIUZIO;ANDORINHAS;-22,63479;-47,20061
2023679;35;351280;POSTO COMUNITARIO NOSSO TETO;RUA EXPEDICIONARIO ANGELO SALMISTRARO;JD SANTANA;-22,6433;-47,20965
2023741;35;352410;CRMF CSII DR JOSE FERREIRA TELLES;RUA CEL JOSE NUNES DA SILVA;CENTRO;-20,339;-47,781
2023768;35;352410;NGA23;CEL JOSE NUNES DA SILVA;CENTRO;-20,33162;-47,78024
2023822;35;352410;PSF FARMACEUTICO JOSE DE LIMA GUANABARA EQUIPE 01;RUA CHAFIA ABDALLA SAAD;GUANABARA I;-20,339;-47,781
2023849;35;352410;PSF DR EVARISTO JOSE SILVEIRA NETO;AV MIGUEL NAGIB;CONJ BENEDITO TRAJAN;-20,339;-47,781
2023881;35;350570;UBS PEDRO IZZO;RUA EVEREST;JARDIM ESPERANCA;-23,511;-46,876
2023911;35;350570;UBS HERMELINO LIBERATO FILHO;PRACA TEOTONIO VILELA;JARDIM BELVAL;-23,511;-46,876
2023938;35;350570;UBS VINCE NEMETH;RUA MANOEL MOREIRA;JARDIM AUDIR;-23,511;-46,876
2023946;35;350570;UBS BENEDITO DE OLIVEIRA CRUDO;RUA CARLOS DE CAMPOS;VILA BOA VISTA;-23,511;-46,876
2023954;35;350570;UBS JOSE FRANCISCO CAIABA;AVENIDA DA ALDEIA;JARDIM IRACEMA;-23,51113;-46,85556
2023962;35;350570;UBS MARIA FRANCISCA DE MELO;ESTRADA DOS PINHEIROS;PARQUE VIANA;-23,511;-46,876
2023970;35;350570;UBS ARMANDO GONCALVES DE FREITAS;RUA PADRE CICERO ROMAO BATISTA;PARQUE IMPERIAL;-23,511;-46,876
2023989;35;350570;UBS RAQUEL SANDRINI RUELA;AVENIDA GIOVANI ATILIO TOLAINI;JARDIM MARIA HELENA;-23,511;-46,876
2024020;35;350570;UBS JOAO DE SIQUEIRA;RUA CANAL DA MANCHA;JARDIM REGINALICE;-23,49846;-46,87916
2024039;35;350570;UBS PASTOR JOSE ROBERTO ROSSI;RUA SANTO ANTONIO DE PADUA;VILA UNIVERSAL;-23,511;-46,876
2024047;35;350570;UBS HELIO BERZAGHI;AVENIDA MARGINAL DIREITA;JARDIM PAULISTA;-23,54452;-46,88183
2024101;35;353800;UNIDADE DE SAUDE DA FAMILIA FEITAL PINDAMONHANGABA;AVENIDA JOAO FRANCISCO DA SILVA;FEITAL;-22,93858;-45,39606
2024128;35;353800;UNIDADE DE SAUDE DA FAMILIA JARDIM IMPERIAL PINDAMONHANGABA;RUA BENEDICTO FORASTIERI;CAMPO ALEGRE;-22,94638;-45,45789
2024136;35;353800;UNIDADE BASICA DE SAUDE VILA SAO BENEDITO PINDAMONHANGABA;RUA GUILHERME NICOLETTI;VILA SAO BENEDITO;-22,88969;-45,38323
2024144;35;353800;UNIDADE DE SAUDE DA FAMILIA CIDADE NOVA PINDAMONHANGABA;AVENIDA PRINCESA DO NORTE;IPIRANGA;-22,94447;-45,41304
2024209;35;353800;UNIDADE DE SAUDE DA FAMILIA TRIANGULO PINDAMONHANGABA;RUA JOAQUIM MARIANO DE PAULA;IPIRANGA;-22,94487;-45,42139
2024217;35;353800;UNIDADE DE SAUDE DA FAMILIA JARDIM ELOYNA PINDAMONHANGABA;RUA JATAI;JARDIM ELOINA;-22,949;-45,40891
2024225;35;353800;UNIDADE DE SAUDE DA FAMILIA CAMPINAS PINDAMONHANGABA;ESTRADA MUNICIPAL DO GOIABAL;CAMPINAS;-22,96322;-45,41419
2024284;35;353800;UNIDADE DE SAUDE DA FAMILIA BOM SUCESSO PINDAMONHANGABA;RODOVIA DOUTOR CAIO GOMES FIGUEIREDO;BOM SUCESSO;-22,88704;-45,54544
2024314;35;353800;UNIDADE DE SAUDE DA FAMILIA MARICA PINDAMONHANGABA;RUA ARACATUBA;IPIRANGA;-22,93288;-45,4276
2024322;35;353800;UNIDADE DE SAUDE DA FAMILIA JARDIM REGINA PINDAMONHANGABA;RUA THEREZINHA TEODORO CARVALHO;ATANAZIO;-22,94058;-45,37684
2024411;35;352720;UBS SERTAO VELHO;ZONA RURAL;SERTAO VELHO;-22,81092;-45,07502
2024446;35;353800;UNIDADE DE SAUDE DA FAMILIA ARARETAMA PINDAMONHANGABA;GENERAL RUY DE ANDRADE COSTA;ARARETAMA;-22,94368;-45,50191
2024470;35;351340;UNIDADE BASICA DE SAUDE ITAGACABA;R LUIZ BITTENCOURT;ITAGACABA;-22,576;-44,963
2024489;35;351340;UNIDADE BASICA DE SAUDE JARDIM AMERICA;R MONSENHOR FRANCISCO DE ASSIS CARVALHO;JARDIM AMERICA;-22,576;-44,963
2024497;35;351340;ESF II VILA BATISTA PARTE BAIXA;R DR AVELINO JUNIOR;V BATISTA P BAIXA;-22,576;-44,963
2024519;35;351340;UNIDADE BASICA DE SAUDE JARDIM PARAISO;AV JOSE NOVAES SOBRINHO;JARDIM PARAISO;-22,5605;-44,94498
2024535;35;351340;UNIDADE BASICA DE SAUDE CENTRO DE SAUDE;R JOAQUIM DO PRADO;CENTRO;-22,576;-44,963
2024543;35;351340;ESF V KM 4;R ARTEMIO DO AMARAL;BAIRRO DO PONTILHAO;-22,57856;-44,98379
2024578;35;351340;ESF I VILA CRISPIM;R VICENTE MOTA FERREIRA;VILA CRISPIM;-22,576;-44,963
2024608;35;351340;ESF III VILA LOYELO;R FIORI BIONDI;VILA PAULO ROMEU;-22,576;-44,963
2024845;35;352430;UNIDADE BASICA DE SAUDE LUIZ ANTONIO BERNAL;PRACA SAUL BORSARI;SANTA LUZIA;-21,24837;-48,30814
2024861;35;352430;UNIDADE BASICA DE SAUDE AMADEU LESSI;AVENIDA DUQUE DE CAXIAS;SOROCABANO;-21,26856;-48,32407
2024888;35;352430;ESTRATEGIA DE SAUDE DA FAMILIA ANTONIO RICARDO BENATTI;RUA DJALMA ALEIXO DE SOUZA;COHAB II;-21,27162;-48,31721
2024896;35;350330;ESF DR FERMIN BLANCO VIANNA ARARAS;RUA DALTON BIRD DE CAMARGO PRETO;JOSE OMETTO II;-22,3525;-47,3349
2024934;35;350330;ESF OTAVIO JOAO BREDA ARARAS;RUA JOAO PUPPI;PARQUE DOM PEDRO;-22,35079;-47,3288
2025094;35;353050;ESF DR JACYNTHO TALIBERTI MOCOCA;RUA ROVAIL RODRIGUES SILVA;MOCOQUINHA;-21,468;-47,005
2025108;35;353050;ESF DR HUMBERTO CUNALI MOCOCA;RUA ERASMO SOUZA RIBEIRO;SANTA CLARA;-21,468;-47,005
2025175;35;350860;ESF EMBAU QUILOMBO;RUA MELCHIADES GODOY FLEMING;EMBAU;-22,61052;-45,04154
2025191;35;355410;PAMO BOSQUE DA SAUDE;RUA DONA NINA MOREIRA;BOSQUE DA SAUDE;-23,03098;-45,54688
2025205;35;355410;PAMO PARQUE PADUAN;RUA OSCAR SEVERIANO DOS ANJOS;PARQUE PADUAN;-23,01637;-45,53078
2025213;35;355410;PAMO VILA SAO CARLOS;AVENIDA FRANCISCO AUGUSTO DA SILVA TOFFULI;VILA SAO CARLOS;-23,026;-45,555
2025221;35;351000;UBS CAMILA PELEGRINI MUSSI;RUA DIRETORA SARAH DE MELLO JABUR;VILA SAO JUDAS;-22,75989;-50,38332
2025256;35;351050;UBS CENTRO SUMARE NADIR CORDEIRO ROSSI CARAGUATATUBA;AVENIDA SIQUEIRA CAMPOS;SUMARE;-23,3112;-45,2447
2025302;35;351860;CENTRO DE ATENCAO MULTIPROFISSIONAL CAM;AVENIDA ERNESTO DE ANGELIS;JARDIM PAULISTANO;-21,36969;-48,23822
2025329;35;354780;UBS VILA GUIOMAR;RUA DAS SILVEIRAS;VILA GUIOMAR;-23,65156;-46,54621
2025450;35;352430;UNIDADE BASICA DE SAUDE GINO BASSI;RUA JORNALISTA CLAUDIO LUIS BERCHIELLI;SANTA MONICA;-21,26284;-48,33198
2025418;35;352430;ESTRATEGIA DE SAUDE DA FAMILIA MARIA DE LOURDES FERREIRA;RUA MANOEL BARBOSA;CORREGO RICO;-21,28951;-48,26401
2025426;35;352430;ESTRATEGIA DE SAUDE DA FAMILIA AURELIO NIERO;AVENIDA AURELIO MIGLIORI;JD PAULISTA;-21,25264;-48,33495
2025442;35;352430;ESTRATEGIA DE SAUDE DA FAMILIA JOSE FRANCISCO NUNO;R ANGELO ULIAN FILHO;LUZITANIA;-21,15996;-48,26367
2025485;35;352690;CSF VISTA ALEGRE LIMEIRA;RUA ALBERTO PELLEGRINO;JD VISTA ALEGRE;-22,57984;-47,37833
2025493;35;352690;CSF NOVA EUROPA LIMEIRA;RUA DONA ELIZA STHALBERG;JD NOVA EUROPA;-22,58007;-47,41504
2025655;35;353080;ESF RURAL SUDESTE MOGI MIRIM;ASSENTAMENTO 12 DE OUTUBRO 1 HORTO DE VERGEL;VERGEL;-22,45427;-46,92707
2025663;35;353080;ESF RURAL NOROESTE MOGI MIRIM;RODOVIA ENGENHEIRO JOAO TOSELLO;PEDERNEIRAS;-22,45441;-46,92707
2127377;31;316720;ESF ELDORADO;RUA AFONSO VIANA DE PAULA;ELDORADO;-19,4774;-44,28
3634329;29;292380;UNIDADE DE SAUDE DA FAMILIA BAIXA DO JUA;POVOADO BAIXA DO JUA;ZONA RURAL;-10;-37
3634345;29;292380;UNIDADE DE SAUDE DA FAMILIA SEDE II;RUA MAJOR JUSTINO DAS VIRGENS;CENTRO;-10;-38
2025833;35;350010;UBS JARDIM ADAMANTINA;JOAO PERRONE;JARDIM ADAMANTINA;-21,66118;-51,08463
2025841;35;350450;UBS BONSUCESSO AVARE;RUA MUZA;VILA RIO NOVO;-23,099;-48,926
2025868;35;350450;ESF X DR FRANCISCO TOURINHO;RUA MINAS GERAIS;ALTO;-23,099;-48,926
2025876;35;350450;UBS JARDIM BRASIL AVARE;AV SALIM CURIATI;JARDIM BRASIL;-23,099;-48,926
2025973;35;351110;UBS DR FRANCISCO LOPES LADEIRA JD SALLES;RUA CACERES;JARDIM SALLES;-21,138;-48,973
2026007;35;351110;USF DR NAPOLEAO PELLICANO JARDIM ALPINO;RUA SAO BENTO;JARDIM ALPINO;-21,138;-48,973
2026015;35;351110;USF DR ATHOS PROCOPIO DE OLIVEIRA JD IMPERIAL;RUA CAMANDUCAIA;JARDIM IMPERIAL;-21,138;-48,973
2026031;35;351110;USF DR JOSE ROCHA JD GAVIOLI;AVENIDA CAXIAS DO SUL;JARDIM GAVIOLI;-21,138;-48,973
2026058;35;351110;USF DR MILTON MAGUOLLO BOM PASTOR;RUA SAO LOURENCO;BOM PASTOR;-21,14497;-48,94051
2026155;35;352440;UMSF BANDEIRA BRANCA;RUA LUIZ GONZAGA ROSA DA SILVA;BANDEIRA BRANCA 1;-23,32502;-45,9932
2026228;35;351110;UBS DR VICENTE BUCHIANERI JARDIM VERTONI;RUA MONTE AZUL;JARDIM VERTONI;-21,138;-48,973
2026171;35;354330;AMBULATORIO DE INFECTOLOGIA;AV FRANCISCO MONTEIRO;CENTRO;-23,68796;-46,38653
2026414;35;353340;UNIDADE BASICA DE SAUDE I;AVENIDA DR CARLOS DE ARRUDA BOTELHO;CENTRO;-22,4641;-47,1746
2026430;35;353340;UNIDADE BASICA DE SAUDE III;RUA SIGESMUNDO ANDERMAN;JD EDEN;-22,79381;-47,3012
2026465;35;355370;UBS II IZOLA BALAN NEGRI VILA NEGRI;RUA MANOEL M PEREIRA;VILA NEGRI;-21,406;-48,505
2026481;35;355370;UBS II ANUR FELIPPE GABRIEL JURUPEMA;RUA SANTO ANTONIO;JURUPEMA;-21,406;-48,505
2026503;35;355370;UBS II AMADEU CHIAROTTI GUARIROBA;RUA RICCIERI MICALI;GUARIROBA;-21,406;-48,505
2026511;35;355370;UBS II EDERALDO A P MARQUES;RUA NELSON NUCCI;VALE DO SOL;-21,406;-48,505
2026546;35;355370;UBS II BRAZ CURTI;RUA REINALDO PINSETA;CECAP;-21,406;-48,505
2026562;35;355370;UBS II NELSON SARGI;RUA LUIZ FALCONI;JARDIM PARAISO;-21,406;-48,505
2026597;35;355370;UBS III AKIO NAKACHIMA;AV CAPITAO JOSE CAMARGO LIMA;VILA SAO SEBASTIAO;-21,406;-48,505
2026678;35;352050;UBS JD OLIVEIRA CAMARGO;RUA YORICO GONCALVES;JD OLIVEIRA CAMARGO;-23,09;-47,218
2026686;35;352050;UBS JARDIM BRASIL;AV LUIZ CARLOS PRESTES;JARDIM BRASIL;-23,09;-47,218
2026708;35;352050;UBS CAMARGO ANDRADE;RUA RUDOLF THEODOR SHEEL;BAIRRO CAMARGO ANDRA;-23,09;-47,218
2026872;35;354520;CLINICA SALTO SAUDE BELA VISTA;RUA EMILIO RIBAS;BELA VISTA;-23,201;-47,287
2026961;35;355030;UBS VILA HELOISA;RUA AYRES QUARESMA;VILA HELOISA;-23,58953;-46,53486
2026988;35;355030;AMA UBS INTEGRADA VILA CALIFORNIA ZEILIVAL BRUSCAGIN;PRACA CONDE DE JANUARIO;VILA CALIFORNIA;-23,60513;-46,55522
2027038;35;355030;UBS CID SATELITE SANTA BARBARA;SOL R;CID SAT STA BARBARA;-23,548;-46,636
2027054;35;355030;UBS J MARILIA;RUA ELZA DOS ANJOS NEVES;JD MARILIA;-23,548;-46,636
2027178;35;352240;UNIDADE PSF VILA CAMARGO ITAPEVA;RUA PROSPERO JOSE PERRETI;VILA CAMARGO;-23,982;-48,876
